id  label
ENSDART00000157433.1  NonCoding
ENSDART00000167545.1  NonCoding
ENSDART00000172018.1  NonCoding
ENSDART00000162126.1  NonCoding
ENSDART00000171474.1  NonCoding
ENSDART00000164645.1  NonCoding
ENSDART00000158458.1  NonCoding
ENSDART00000158631.1  NonCoding
ENSDART00000115891.3  NonCoding
ENSDART00000117596.3  NonCoding
ENSDART00000169891.1  NonCoding
ENSDART00000165742.1  NonCoding
ENSDART00000167962.1  NonCoding
ENSDART00000163145.1  NonCoding
ENSDART00000167524.1  NonCoding
ENSDART00000166952.1  NonCoding
ENSDART00000116011.1  NonCoding
ENSDART00000165846.1  NonCoding
ENSDART00000168834.1  NonCoding
ENSDART00000117810.1  NonCoding
ENSDART00000163866.1  NonCoding
ENSDART00000168043.1  NonCoding
ENSDART00000162829.1  NonCoding
ENSDART00000164273.1  NonCoding
ENSDART00000163116.1  NonCoding
ENSDART00000171978.1  NonCoding
ENSDART00000161746.1  NonCoding
ENSDART00000158945.1  NonCoding
ENSDART00000170397.1  NonCoding
ENSDART00000172058.1  NonCoding
ENSDART00000161157.1  NonCoding
ENSDART00000168040.1  NonCoding
ENSDART00000167147.1  NonCoding
ENSDART00000168855.1  NonCoding
ENSDART00000169981.1  NonCoding
ENSDART00000172620.1  NonCoding
ENSDART00000158869.1  NonCoding
ENSDART00000116250.1  NonCoding
ENSDART00000167965.1  NonCoding
ENSDART00000165217.1  NonCoding
ENSDART00000163961.1  NonCoding
ENSDART00000167484.1  NonCoding
ENSDART00000161530.1  NonCoding
ENSDART00000167577.1  NonCoding
ENSDART00000165783.1  NonCoding
ENSDART00000166597.1  NonCoding
ENSDART00000160075.1  NonCoding
ENSDART00000166977.1  NonCoding
ENSDART00000115804.1  NonCoding
ENSDART00000164435.1  NonCoding
ENSDART00000159722.1  NonCoding
ENSDART00000168744.1  NonCoding
ENSDART00000163322.1  NonCoding
ENSDART00000159548.1  NonCoding
ENSDART00000159772.1  NonCoding
ENSDART00000169656.1  NonCoding
ENSDART00000119311.1  NonCoding
ENSDART00000164995.1  NonCoding
ENSDART00000167238.1  NonCoding
ENSDART00000166433.1  NonCoding
ENSDART00000159766.1  NonCoding
ENSDART00000160569.1  NonCoding
ENSDART00000158783.1  NonCoding
ENSDART00000172725.1  NonCoding
ENSDART00000165135.1  NonCoding
ENSDART00000167585.1  NonCoding
ENSDART00000157660.1  NonCoding
ENSDART00000160993.1  NonCoding
ENSDART00000162303.1  NonCoding
ENSDART00000164355.1  NonCoding
ENSDART00000161376.1  NonCoding
ENSDART00000118923.1  NonCoding
ENSDART00000161752.1  NonCoding
ENSDART00000168998.1  NonCoding
ENSDART00000118284.1  NonCoding
ENSDART00000166436.1  NonCoding
ENSDART00000161819.1  NonCoding
ENSDART00000160816.1  NonCoding
ENSDART00000171260.1  NonCoding
ENSDART00000157613.1  NonCoding
ENSDART00000165773.1  NonCoding
ENSDART00000164010.1  NonCoding
ENSDART00000170844.1  NonCoding
ENSDART00000157588.1  NonCoding
ENSDART00000158084.1  NonCoding
ENSDART00000119159.1  NonCoding
ENSDART00000159117.1  NonCoding
ENSDART00000172858.1  NonCoding
ENSDART00000161982.1  NonCoding
ENSDART00000119160.1  NonCoding
ENSDART00000162924.1  NonCoding
ENSDART00000119138.1  NonCoding
ENSDART00000161755.1  NonCoding
ENSDART00000158564.1  Coding
ENSDART00000163313.1  NonCoding
ENSDART00000169557.1  NonCoding
ENSDART00000168403.1  Coding
ENSDART00000153286.1  NonCoding
ENSDART00000153261.1  NonCoding
ENSDART00000171421.1  NonCoding
ENSDART00000165254.1  NonCoding
ENSDART00000171902.1  NonCoding
ENSDART00000154093.1  NonCoding
ENSDART00000165256.1  Coding
ENSDART00000155086.1  NonCoding
ENSDART00000153123.1  Coding
ENSDART00000173489.1  NonCoding
ENSDART00000165815.1  NonCoding
ENSDART00000166256.1  NonCoding
ENSDART00000153432.1  NonCoding
ENSDART00000160394.1  NonCoding
ENSDART00000170248.1  NonCoding
ENSDART00000173530.1  Coding
ENSDART00000160871.1  NonCoding
ENSDART00000162284.1  NonCoding
ENSDART00000159659.1  Coding
ENSDART00000171763.1  Coding
ENSDART00000172606.1  NonCoding
