id  label
ENSDART00000136206.2  NonCoding
ENSDART00000145941.1  Coding
ENSDART00000133226.1  NonCoding
ENSDART00000145961.2  NonCoding
ENSDART00000131801.1  NonCoding
ENSDART00000106236.4  Coding
ENSDART00000134852.2  Coding
ENSDART00000137163.1  Coding
ENSDART00000106235.3  Coding
ENSDART00000172314.1  NonCoding
ENSDART00000166572.1  NonCoding
ENSDART00000136013.1  NonCoding
ENSDART00000136857.2  Coding
ENSDART00000143177.1  NonCoding
ENSDART00000144470.1  NonCoding
ENSDART00000155582.1  NonCoding
ENSDART00000167317.1  NonCoding
ENSDART00000153903.1  NonCoding
ENSDART00000164882.1  NonCoding
ENSDART00000135263.1  NonCoding
ENSDART00000143211.1  NonCoding
ENSDART00000135503.1  Coding
ENSDART00000125017.2  Coding
ENSDART00000154883.1  NonCoding
ENSDART00000137687.2  NonCoding
ENSDART00000142194.1  NonCoding
ENSDART00000148329.3  NonCoding
ENSDART00000152488.2  NonCoding
ENSDART00000152208.2  NonCoding
ENSDART00000152221.2  NonCoding
ENSDART00000152570.1  NonCoding
ENSDART00000152349.1  NonCoding
ENSDART00000152607.2  NonCoding
ENSDART00000152619.1  NonCoding
ENSDART00000143559.1  NonCoding
ENSDART00000113832.3  Coding
ENSDART00000171791.1  NonCoding
ENSDART00000136015.1  NonCoding
ENSDART00000144863.1  NonCoding
ENSDART00000138370.1  NonCoding
ENSDART00000140256.1  NonCoding
ENSDART00000144264.1  NonCoding
ENSDART00000163268.1  NonCoding
ENSDART00000137961.1  NonCoding
ENSDART00000137442.1  NonCoding
ENSDART00000144943.2  NonCoding
ENSDART00000137162.1  NonCoding
ENSDART00000137953.1  Coding
ENSDART00000143146.1  NonCoding
ENSDART00000148529.1  NonCoding
ENSDART00000149535.1  NonCoding
ENSDART00000148607.1  NonCoding
ENSDART00000132943.1  NonCoding
ENSDART00000146652.2  Coding
ENSDART00000169611.1  Coding
ENSDART00000143330.1  NonCoding
ENSDART00000139481.1  NonCoding
ENSDART00000160477.1  NonCoding
ENSDART00000159399.1  NonCoding
ENSDART00000133145.1  NonCoding
ENSDART00000138131.1  NonCoding
ENSDART00000138597.1  NonCoding
ENSDART00000133052.2  Coding
ENSDART00000131700.1  Coding
ENSDART00000106663.4  Coding
ENSDART00000142166.1  NonCoding
ENSDART00000156027.1  NonCoding
ENSDART00000155383.1  NonCoding
ENSDART00000173304.1  NonCoding
ENSDART00000172754.1  NonCoding
ENSDART00000163876.1  NonCoding
ENSDART00000160028.1  NonCoding
ENSDART00000161645.1  NonCoding
ENSDART00000153644.1  NonCoding
ENSDART00000154394.1  NonCoding
ENSDART00000154533.1  NonCoding
ENSDART00000157379.1  NonCoding
ENSDART00000153092.2  NonCoding
ENSDART00000153398.1  NonCoding
ENSDART00000163439.1  NonCoding
ENSDART00000157318.1  NonCoding
ENSDART00000156890.2  NonCoding
ENSDART00000155433.1  NonCoding
ENSDART00000156293.1  NonCoding
ENSDART00000155255.1  NonCoding
ENSDART00000156393.1  NonCoding
ENSDART00000173441.1  NonCoding
ENSDART00000155425.1  NonCoding
ENSDART00000164327.1  NonCoding
ENSDART00000158625.2  NonCoding
ENSDART00000167516.2  NonCoding
ENSDART00000173733.1  NonCoding
ENSDART00000162475.1  NonCoding
ENSDART00000153541.1  NonCoding
ENSDART00000168318.1  NonCoding
ENSDART00000156451.1  NonCoding
ENSDART00000154725.1  NonCoding
ENSDART00000153576.1  NonCoding
ENSDART00000169497.1  NonCoding
ENSDART00000164029.1  NonCoding
ENSDART00000161905.1  NonCoding
ENSDART00000163027.1  NonCoding
ENSDART00000153188.1  Coding
ENSDART00000152838.1  NonCoding
ENSDART00000153407.1  Coding
ENSDART00000142765.1  Coding
ENSDART00000156231.1  NonCoding
ENSDART00000156015.1  NonCoding
ENSDART00000154272.1  NonCoding
ENSDART00000141666.2  NonCoding
ENSDART00000139167.1  NonCoding
ENSDART00000156084.1  NonCoding
ENSDART00000171275.1  NonCoding
ENSDART00000169499.1  NonCoding
ENSDART00000153701.1  NonCoding
ENSDART00000132270.1  Coding
ENSDART00000135175.1  NonCoding
