id  label
ENSMUST00000161581.1  NonCoding
ENSMUST00000181554.1  NonCoding
ENSMUST00000182498.1  NonCoding
ENSMUST00000181272.1  NonCoding
ENSMUST00000161626.1  NonCoding
ENSMUST00000155588.1  NonCoding
ENSMUST00000182303.1  NonCoding
ENSMUST00000127620.1  Coding
ENSMUST00000133299.1  NonCoding
ENSMUST00000146314.1  NonCoding
ENSMUST00000176977.1  NonCoding
ENSMUST00000176807.1  NonCoding
ENSMUST00000180589.1  NonCoding
ENSMUST00000141758.1  NonCoding
ENSMUST00000138535.1  NonCoding
ENSMUST00000141027.1  NonCoding
ENSMUST00000149820.1  NonCoding
ENSMUST00000124160.2  NonCoding
ENSMUST00000140116.1  NonCoding
ENSMUST00000160540.1  Coding
ENSMUST00000130095.1  NonCoding
ENSMUST00000162453.1  NonCoding
ENSMUST00000161150.2  NonCoding
ENSMUST00000161763.1  NonCoding
ENSMUST00000174821.1  NonCoding
ENSMUST00000147594.1  NonCoding
ENSMUST00000181737.1  NonCoding
ENSMUST00000181260.1  NonCoding
ENSMUST00000144260.1  NonCoding
ENSMUST00000180837.1  NonCoding
ENSMUST00000152863.1  NonCoding
ENSMUST00000125056.1  NonCoding
ENSMUST00000180835.1  NonCoding
ENSMUST00000160564.1  NonCoding
ENSMUST00000182570.1  Coding
ENSMUST00000183212.1  NonCoding
ENSMUST00000182275.1  NonCoding
ENSMUST00000146091.3  NonCoding
ENSMUST00000166747.1  NonCoding
ENSMUST00000181274.1  NonCoding
ENSMUST00000182158.1  NonCoding
ENSMUST00000159153.1  NonCoding
ENSMUST00000159399.1  NonCoding
ENSMUST00000181309.1  NonCoding
ENSMUST00000177351.1  NonCoding
ENSMUST00000171429.1  NonCoding
ENSMUST00000150600.1  NonCoding
ENSMUST00000141846.1  NonCoding
ENSMUST00000070987.7  NonCoding
ENSMUST00000172500.1  NonCoding
ENSMUST00000110279.3  NonCoding
ENSMUST00000159273.1  NonCoding
ENSMUST00000180420.1  NonCoding
ENSMUST00000133873.1  NonCoding
ENSMUST00000151782.1  NonCoding
ENSMUST00000147685.1  NonCoding
ENSMUST00000142774.1  NonCoding
ENSMUST00000154223.1  NonCoding
ENSMUST00000138416.1  NonCoding
ENSMUST00000131188.1  NonCoding
ENSMUST00000152524.1  NonCoding
ENSMUST00000174811.1  NonCoding
ENSMUST00000150514.1  NonCoding
ENSMUST00000136456.1  NonCoding
ENSMUST00000137714.1  NonCoding
ENSMUST00000149398.1  NonCoding
ENSMUST00000128743.1  NonCoding
ENSMUST00000155475.1  NonCoding
ENSMUST00000127642.1  NonCoding
ENSMUST00000135799.1  NonCoding
ENSMUST00000151069.1  Coding
ENSMUST00000153913.1  NonCoding
ENSMUST00000137349.1  NonCoding
ENSMUST00000184787.1  NonCoding
ENSMUST00000150375.1  Coding
ENSMUST00000181621.1  NonCoding
ENSMUST00000126798.1  Coding
ENSMUST00000142511.1  NonCoding
ENSMUST00000154246.1  NonCoding
ENSMUST00000123129.1  Coding
ENSMUST00000128888.1  NonCoding
ENSMUST00000177012.1  NonCoding
ENSMUST00000155949.1  NonCoding
ENSMUST00000148230.1  NonCoding
ENSMUST00000141023.1  NonCoding
ENSMUST00000156387.1  NonCoding
ENSMUST00000150621.1  NonCoding
ENSMUST00000134271.1  NonCoding
ENSMUST00000130988.1  NonCoding
ENSMUST00000147871.1  NonCoding
ENSMUST00000139455.1  NonCoding
ENSMUST00000128242.1  NonCoding
ENSMUST00000129687.1  NonCoding
ENSMUST00000123911.1  NonCoding
ENSMUST00000143870.1  NonCoding
ENSMUST00000180810.1  Coding
ENSMUST00000126549.1  NonCoding
ENSMUST00000146529.1  NonCoding
ENSMUST00000138444.1  NonCoding
ENSMUST00000153675.1  NonCoding
ENSMUST00000131198.1  NonCoding
ENSMUST00000151984.1  NonCoding
ENSMUST00000151931.1  NonCoding
ENSMUST00000126361.1  Coding
ENSMUST00000142353.1  NonCoding
ENSMUST00000152740.1  Coding
ENSMUST00000134476.1  NonCoding
ENSMUST00000126240.1  NonCoding
ENSMUST00000140271.1  NonCoding
ENSMUST00000137251.2  NonCoding
ENSMUST00000157059.1  NonCoding
ENSMUST00000124829.1  NonCoding
ENSMUST00000136807.1  NonCoding
ENSMUST00000125382.1  NonCoding
ENSMUST00000148327.1  NonCoding
ENSMUST00000146195.1  Coding
ENSMUST00000123663.1  NonCoding
ENSMUST00000153743.1  NonCoding
ENSMUST00000139005.1  NonCoding
ENSMUST00000143898.1  NonCoding
ENSMUST00000133437.1  Coding
ENSMUST00000129056.1  Coding
ENSMUST00000141958.1  NonCoding
ENSMUST00000126219.1  NonCoding
ENSMUST00000125001.2  NonCoding
ENSMUST00000155621.1  Coding
ENSMUST00000131634.1  NonCoding
ENSMUST00000180732.1  NonCoding
ENSMUST00000123263.1  NonCoding
ENSMUST00000142330.1  NonCoding
ENSMUST00000099693.2  NonCoding
ENSMUST00000162565.1  NonCoding
ENSMUST00000147082.1  NonCoding
ENSMUST00000130680.1  NonCoding
ENSMUST00000151028.1  NonCoding
ENSMUST00000144657.1  NonCoding
ENSMUST00000153797.1  NonCoding
ENSMUST00000146553.1  NonCoding
ENSMUST00000127237.1  NonCoding
ENSMUST00000130634.1  NonCoding
ENSMUST00000123623.1  NonCoding
ENSMUST00000143525.1  NonCoding
ENSMUST00000154834.1  NonCoding
ENSMUST00000128469.1  NonCoding
ENSMUST00000134456.1  NonCoding
ENSMUST00000133648.1  NonCoding
ENSMUST00000152412.1  NonCoding
ENSMUST00000128305.1  NonCoding
ENSMUST00000149239.1  NonCoding
ENSMUST00000124439.1  NonCoding
ENSMUST00000181963.1  NonCoding
ENSMUST00000149090.1  Coding
ENSMUST00000152813.1  Coding
ENSMUST00000148977.1  NonCoding
ENSMUST00000123403.1  NonCoding
ENSMUST00000182590.1  NonCoding
ENSMUST00000151427.1  NonCoding
ENSMUST00000156275.1  NonCoding
ENSMUST00000127525.1  NonCoding
ENSMUST00000144178.1  NonCoding
ENSMUST00000168775.1  NonCoding
ENSMUST00000135110.1  Coding
ENSMUST00000128176.1  NonCoding
ENSMUST00000151417.1  NonCoding
ENSMUST00000154067.1  NonCoding
ENSMUST00000146398.1  NonCoding
ENSMUST00000143964.1  NonCoding
ENSMUST00000134795.1  NonCoding
ENSMUST00000143227.1  NonCoding
ENSMUST00000124774.1  NonCoding
ENSMUST00000156780.1  NonCoding
ENSMUST00000153878.1  NonCoding
ENSMUST00000170215.1  Coding
ENSMUST00000129286.1  NonCoding
ENSMUST00000089083.2  NonCoding
ENSMUST00000137020.1  NonCoding
ENSMUST00000139636.1  NonCoding
ENSMUST00000130859.1  NonCoding
ENSMUST00000141926.1  NonCoding
ENSMUST00000147187.1  NonCoding
ENSMUST00000123016.1  NonCoding
ENSMUST00000155319.1  NonCoding
ENSMUST00000140319.1  NonCoding
ENSMUST00000131401.1  NonCoding
ENSMUST00000136371.1  NonCoding
ENSMUST00000154065.1  NonCoding
ENSMUST00000149285.1  NonCoding
ENSMUST00000132465.1  NonCoding
ENSMUST00000123480.1  NonCoding
ENSMUST00000148226.1  NonCoding
ENSMUST00000127006.1  NonCoding
ENSMUST00000142374.1  NonCoding
ENSMUST00000181446.1  NonCoding
ENSMUST00000180945.1  NonCoding
ENSMUST00000180895.1  NonCoding
ENSMUST00000180625.1  NonCoding
ENSMUST00000131931.1  Coding
ENSMUST00000129075.1  NonCoding
ENSMUST00000142207.1  NonCoding
ENSMUST00000183124.1  NonCoding
ENSMUST00000183944.1  NonCoding
ENSMUST00000182586.1  NonCoding
ENSMUST00000181124.1  NonCoding
ENSMUST00000129578.1  NonCoding
ENSMUST00000173845.1  NonCoding
ENSMUST00000174136.1  NonCoding
ENSMUST00000168995.1  NonCoding
ENSMUST00000147691.1  NonCoding
ENSMUST00000180616.1  NonCoding
ENSMUST00000131274.1  NonCoding
ENSMUST00000181550.1  NonCoding
ENSMUST00000181636.1  NonCoding
ENSMUST00000181361.1  NonCoding
ENSMUST00000145400.1  NonCoding
ENSMUST00000179250.1  Coding
ENSMUST00000135483.1  NonCoding
ENSMUST00000151207.1  NonCoding
ENSMUST00000176569.1  Coding
ENSMUST00000180383.1  NonCoding
ENSMUST00000148335.1  NonCoding
ENSMUST00000176742.1  NonCoding
ENSMUST00000176275.1  NonCoding
ENSMUST00000176143.1  NonCoding
ENSMUST00000180637.1  NonCoding
ENSMUST00000107095.2  NonCoding
ENSMUST00000145865.1  NonCoding
ENSMUST00000127317.1  NonCoding
ENSMUST00000160110.1  NonCoding
ENSMUST00000060946.3  NonCoding
ENSMUST00000131345.1  NonCoding
ENSMUST00000137800.1  NonCoding
ENSMUST00000137970.1  NonCoding
ENSMUST00000145191.1  NonCoding
ENSMUST00000138374.1  NonCoding
ENSMUST00000142833.1  NonCoding
ENSMUST00000184260.1  NonCoding
ENSMUST00000181404.1  NonCoding
ENSMUST00000180774.1  NonCoding
ENSMUST00000183276.1  NonCoding
ENSMUST00000072769.6  NonCoding
ENSMUST00000180557.1  NonCoding
ENSMUST00000181792.1  NonCoding
ENSMUST00000185046.1  NonCoding
ENSMUST00000141199.1  NonCoding
ENSMUST00000181234.1  NonCoding
ENSMUST00000131675.1  NonCoding
ENSMUST00000130895.1  NonCoding
ENSMUST00000139214.1  NonCoding
ENSMUST00000129988.1  NonCoding
ENSMUST00000142744.1  NonCoding
ENSMUST00000142297.1  NonCoding
ENSMUST00000128443.1  NonCoding
ENSMUST00000155156.1  NonCoding
ENSMUST00000150273.1  NonCoding
ENSMUST00000136992.1  NonCoding
ENSMUST00000132219.1  NonCoding
ENSMUST00000183964.1  NonCoding
ENSMUST00000154813.1  NonCoding
ENSMUST00000128925.1  NonCoding
ENSMUST00000126225.1  Coding
ENSMUST00000152086.1  NonCoding
ENSMUST00000144039.1  NonCoding
ENSMUST00000181475.1  NonCoding
ENSMUST00000141375.1  NonCoding
ENSMUST00000131248.1  NonCoding
ENSMUST00000123933.1  NonCoding
ENSMUST00000132432.1  NonCoding
ENSMUST00000153083.1  NonCoding
ENSMUST00000131099.1  NonCoding
ENSMUST00000155178.1  NonCoding
ENSMUST00000138377.1  NonCoding
ENSMUST00000135987.1  NonCoding
ENSMUST00000134099.1  NonCoding
ENSMUST00000128591.1  NonCoding
ENSMUST00000132140.1  NonCoding
ENSMUST00000124589.1  NonCoding
ENSMUST00000143618.1  NonCoding
ENSMUST00000138411.1  NonCoding
ENSMUST00000141162.1  NonCoding
ENSMUST00000141030.1  NonCoding
ENSMUST00000142137.1  NonCoding
ENSMUST00000126646.1  NonCoding
ENSMUST00000148635.1  NonCoding
ENSMUST00000155822.1  NonCoding
ENSMUST00000131790.1  NonCoding
ENSMUST00000130576.1  NonCoding
ENSMUST00000129601.1  NonCoding
ENSMUST00000154352.1  NonCoding
ENSMUST00000125917.1  NonCoding
ENSMUST00000124166.1  NonCoding
ENSMUST00000130684.1  NonCoding
ENSMUST00000156086.1  NonCoding
ENSMUST00000136941.1  NonCoding
ENSMUST00000155789.1  NonCoding
ENSMUST00000143332.1  NonCoding
ENSMUST00000180374.1  NonCoding
ENSMUST00000131516.1  NonCoding
ENSMUST00000132337.1  NonCoding
ENSMUST00000136525.1  NonCoding
ENSMUST00000149348.1  NonCoding
ENSMUST00000125277.1  NonCoding
ENSMUST00000126668.1  NonCoding
ENSMUST00000170933.1  NonCoding
ENSMUST00000125237.1  NonCoding
ENSMUST00000156790.1  NonCoding
ENSMUST00000156219.1  NonCoding
ENSMUST00000141554.1  NonCoding
ENSMUST00000139618.1  NonCoding
ENSMUST00000155069.1  NonCoding
ENSMUST00000128998.1  NonCoding
ENSMUST00000151216.1  NonCoding
ENSMUST00000144407.1  NonCoding
ENSMUST00000150252.1  NonCoding
ENSMUST00000140510.1  NonCoding
ENSMUST00000154878.1  NonCoding
ENSMUST00000143859.1  NonCoding
ENSMUST00000154947.1  NonCoding
ENSMUST00000146679.1  NonCoding
ENSMUST00000145240.1  NonCoding
ENSMUST00000137236.1  NonCoding
ENSMUST00000179945.1  Coding
ENSMUST00000153817.1  NonCoding
ENSMUST00000139884.1  NonCoding
ENSMUST00000152986.1  NonCoding
ENSMUST00000134911.1  NonCoding
ENSMUST00000149942.1  NonCoding
ENSMUST00000144705.1  NonCoding
ENSMUST00000128131.1  NonCoding
ENSMUST00000172202.1  NonCoding
ENSMUST00000133742.1  NonCoding
ENSMUST00000122952.1  NonCoding
ENSMUST00000140052.2  NonCoding
ENSMUST00000154285.1  NonCoding
ENSMUST00000140495.1  NonCoding
ENSMUST00000135358.1  NonCoding
ENSMUST00000124620.1  NonCoding
ENSMUST00000138672.1  NonCoding
ENSMUST00000135858.1  NonCoding
ENSMUST00000141469.1  NonCoding
ENSMUST00000151848.1  NonCoding
ENSMUST00000124848.1  NonCoding
ENSMUST00000149247.1  NonCoding
ENSMUST00000144017.1  NonCoding
ENSMUST00000128368.1  NonCoding
ENSMUST00000152351.1  NonCoding
ENSMUST00000126231.1  NonCoding
ENSMUST00000139653.1  NonCoding
ENSMUST00000143127.1  NonCoding
ENSMUST00000181486.1  NonCoding
ENSMUST00000123548.1  NonCoding
ENSMUST00000141259.1  NonCoding
ENSMUST00000146250.1  NonCoding
ENSMUST00000129397.1  NonCoding
ENSMUST00000134236.1  NonCoding
ENSMUST00000128800.1  NonCoding
ENSMUST00000161416.1  NonCoding
ENSMUST00000143133.1  NonCoding
ENSMUST00000143888.1  NonCoding
ENSMUST00000138795.1  NonCoding
ENSMUST00000153344.2  NonCoding
ENSMUST00000067628.1  NonCoding
ENSMUST00000151836.1  NonCoding
ENSMUST00000162113.1  NonCoding
ENSMUST00000180594.1  NonCoding
ENSMUST00000181374.1  NonCoding
ENSMUST00000181005.1  NonCoding
ENSMUST00000133844.1  Coding
ENSMUST00000006814.7  Coding
ENSMUST00000136014.1  NonCoding
ENSMUST00000134615.1  NonCoding
ENSMUST00000130898.1  NonCoding
ENSMUST00000177682.1  Coding
ENSMUST00000152116.1  NonCoding
ENSMUST00000181335.1  NonCoding
ENSMUST00000176749.1  NonCoding
ENSMUST00000180601.1  NonCoding
ENSMUST00000064097.3  NonCoding
ENSMUST00000180912.1  NonCoding
ENSMUST00000180470.1  Coding
ENSMUST00000156943.1  NonCoding
ENSMUST00000150616.1  NonCoding
ENSMUST00000145914.1  NonCoding
ENSMUST00000146393.1  Coding
ENSMUST00000168686.1  NonCoding
ENSMUST00000132389.1  Coding
ENSMUST00000185173.1  Coding
ENSMUST00000161985.1  NonCoding
ENSMUST00000181724.1  NonCoding
ENSMUST00000159950.1  NonCoding
ENSMUST00000160096.1  NonCoding
ENSMUST00000181370.1  NonCoding
ENSMUST00000181620.1  NonCoding
ENSMUST00000180862.2  NonCoding
ENSMUST00000149156.1  NonCoding
ENSMUST00000161480.1  NonCoding
ENSMUST00000181488.1  NonCoding
ENSMUST00000130123.1  NonCoding
ENSMUST00000142879.1  NonCoding
ENSMUST00000181141.1  NonCoding
ENSMUST00000149538.1  NonCoding
ENSMUST00000182258.1  NonCoding
ENSMUST00000182699.1  NonCoding
ENSMUST00000182949.1  NonCoding
ENSMUST00000166047.1  NonCoding
ENSMUST00000160164.1  NonCoding
ENSMUST00000149609.1  NonCoding
ENSMUST00000124378.1  NonCoding
ENSMUST00000151159.1  NonCoding
ENSMUST00000156169.1  NonCoding
ENSMUST00000149413.1  NonCoding
ENSMUST00000182216.1  NonCoding
ENSMUST00000134493.1  NonCoding
ENSMUST00000140101.1  NonCoding
ENSMUST00000185026.1  NonCoding
ENSMUST00000161848.1  NonCoding
ENSMUST00000162348.1  NonCoding
ENSMUST00000181022.1  NonCoding
ENSMUST00000160227.1  NonCoding
ENSMUST00000155796.1  NonCoding
ENSMUST00000148082.1  NonCoding
ENSMUST00000141454.1  NonCoding
ENSMUST00000125662.1  NonCoding
ENSMUST00000176473.1  NonCoding
ENSMUST00000183226.1  NonCoding
ENSMUST00000124198.1  NonCoding
ENSMUST00000180733.1  NonCoding
ENSMUST00000156774.1  NonCoding
ENSMUST00000181114.1  NonCoding
ENSMUST00000180425.1  NonCoding
ENSMUST00000181343.1  NonCoding
ENSMUST00000177082.1  NonCoding
ENSMUST00000176654.1  NonCoding
ENSMUST00000159113.1  NonCoding
ENSMUST00000181534.1  NonCoding
ENSMUST00000148063.1  NonCoding
ENSMUST00000181225.1  NonCoding
ENSMUST00000138170.1  NonCoding
ENSMUST00000181540.1  NonCoding
ENSMUST00000141679.1  NonCoding
ENSMUST00000140275.1  NonCoding
ENSMUST00000123149.1  NonCoding
ENSMUST00000139444.1  NonCoding
ENSMUST00000136571.1  NonCoding
ENSMUST00000133510.1  NonCoding
ENSMUST00000153328.1  NonCoding
ENSMUST00000130875.1  NonCoding
ENSMUST00000180825.1  NonCoding
ENSMUST00000135363.1  NonCoding
ENSMUST00000181762.1  NonCoding
ENSMUST00000154570.1  NonCoding
ENSMUST00000159006.1  NonCoding
ENSMUST00000139055.1  NonCoding
ENSMUST00000136806.1  NonCoding
ENSMUST00000125305.1  NonCoding
ENSMUST00000137258.1  NonCoding
ENSMUST00000145111.1  NonCoding
ENSMUST00000181288.1  NonCoding
ENSMUST00000130657.1  NonCoding
ENSMUST00000181304.1  NonCoding
ENSMUST00000181028.1  NonCoding
ENSMUST00000114051.2  NonCoding
